Date,Open,High,Low,Close*,Adj. close**,Volume
2020-06-26,"3,073.20","3,073.73","3,004.63","3,009.05","3,009.05","8,09,81,20,000"
2020-06-25,"3,046.60","3,086.25","3,024.01","3,083.76","3,083.76","4,81,54,20,000"
2020-06-24,"3,114.40","3,115.01","3,032.13","3,050.33","3,050.33","5,58,72,00,000"
2020-06-23,"3,138.70","3,154.90","3,127.12","3,131.29","3,131.29","4,70,48,30,000"
2020-06-22,"3,094.42","3,120.92","3,079.39","3,117.86","3,117.86","4,66,53,80,000"
2020-06-19,"3,140.29","3,155.53","3,083.11","3,097.74","3,097.74","8,32,77,80,000"
2020-06-18,"3,101.64","3,120.00","3,093.51","3,115.34","3,115.34","4,42,90,30,000"
2020-06-17,"3,136.13","3,141.16","3,108.03","3,113.49","3,113.49","4,54,93,90,000"
2020-06-16,"3,131.00","3,153.45","3,076.06","3,124.74","3,124.74","5,82,92,40,000"
2020-06-15,"2,993.76","3,079.76","2,965.66","3,066.59","3,066.59","5,74,06,60,000"
2020-06-12,"3,071.04","3,088.42","2,984.47","3,041.31","3,041.31","5,83,22,50,000"
2020-06-11,"3,123.53","3,123.53","2,999.49","3,002.10","3,002.10","7,01,88,90,000"
2020-06-10,"3,213.42","3,223.27","3,181.49","3,190.14","3,190.14","6,57,08,40,000"
2020-06-09,"3,213.32","3,222.71","3,193.11","3,207.18","3,207.18","6,38,26,20,000"
2020-06-08,"3,199.92","3,233.13","3,196.00","3,232.39","3,232.39","8,43,73,80,000"
2020-06-05,"3,163.84","3,211.72","3,163.84","3,193.93","3,193.93","8,61,75,90,000"
2020-06-04,"3,111.56","3,128.91","3,090.41","3,112.35","3,112.35","6,42,81,30,000"
2020-06-03,"3,098.90","3,130.94","3,098.90","3,122.87","3,122.87","5,98,95,60,000"
2020-06-02,"3,064.78","3,081.07","3,051.64","3,080.82","3,080.82","5,18,72,30,000"
2020-06-01,"3,038.78","3,062.18","3,031.54","3,055.73","3,055.73","4,67,34,10,000"
2020-05-29,"3,025.17","3,049.17","2,998.61","3,044.31","3,044.31","7,27,50,80,000"
2020-05-28,"3,046.61","3,068.67","3,023.40","3,029.73","3,029.73","5,40,26,70,000"
2020-05-27,"3,015.65","3,036.25","2,969.75","3,036.13","3,036.13","6,37,12,30,000"
2020-05-26,"3,004.08","3,021.72","2,988.17","2,991.77","2,991.77","5,83,70,60,000"
2020-05-22,"2,948.05","2,956.76","2,933.59","2,955.45","2,955.45","3,95,28,00,000"
2020-05-21,"2,969.95","2,978.50","2,938.57","2,948.51","2,948.51","4,96,69,40,000"
2020-05-20,"2,953.63","2,980.29","2,953.63","2,971.61","2,971.61","4,99,29,70,000"
2020-05-19,"2,948.59","2,964.21","2,922.35","2,922.94","2,922.94","4,96,93,30,000"
2020-05-18,"2,913.86","2,968.09","2,913.86","2,953.91","2,953.91","6,36,42,90,000"
2020-05-15,"2,829.95","2,865.01","2,816.78","2,863.70","2,863.70","5,47,70,40,000"
2020-05-14,"2,794.54","2,852.80","2,766.64","2,852.50","2,852.50","5,64,19,20,000"
2020-05-13,"2,865.86","2,874.14","2,793.15","2,820.00","2,820.00","6,14,31,30,000"
2020-05-12,"2,939.50","2,945.82","2,869.59","2,870.12","2,870.12","5,10,77,10,000"
2020-05-11,"2,915.46","2,944.25","2,903.44","2,930.19","2,930.19","4,80,73,20,000"
2020-05-08,"2,908.83","2,932.16","2,902.88","2,929.80","2,929.80","4,85,71,60,000"
2020-05-07,"2,878.26","2,901.92","2,876.48","2,881.19","2,881.19","5,16,46,40,000"
2020-05-06,"2,883.14","2,891.11","2,847.65","2,848.42","2,848.42","4,86,19,20,000"
2020-05-05,"2,868.88","2,898.23","2,863.55","2,868.44","2,868.44","5,12,95,90,000"
2020-05-04,"2,815.01","2,844.24","2,797.85","2,842.74","2,842.74","4,72,31,40,000"
2020-05-01,"2,869.09","2,869.09","2,821.61","2,830.71","2,830.71","4,75,31,60,000"
2020-04-30,"2,930.91","2,930.91","2,892.47","2,912.43","2,912.43","6,52,31,20,000"
2020-04-29,"2,918.46","2,954.86","2,912.16","2,939.51","2,939.51","6,62,01,40,000"
2020-04-28,"2,909.96","2,921.15","2,860.71","2,863.39","2,863.39","5,67,28,80,000"
2020-04-27,"2,854.65","2,887.72","2,852.89","2,878.48","2,878.48","5,19,42,60,000"
2020-04-24,"2,812.64","2,842.71","2,791.76","2,836.74","2,836.74","5,37,44,80,000"
2020-04-23,"2,810.42","2,844.90","2,794.26","2,797.80","2,797.80","5,75,65,20,000"
2020-04-22,"2,787.89","2,815.10","2,775.95","2,799.31","2,799.31","5,04,96,60,000"
2020-04-21,"2,784.81","2,785.54","2,727.10","2,736.56","2,736.56","5,07,58,30,000"
2020-04-20,"2,845.62","2,868.98","2,820.43","2,823.16","2,823.16","5,22,01,60,000"
2020-04-17,"2,842.43","2,879.22","2,830.88","2,874.56","2,874.56","5,79,21,40,000"
